name,"Control, Female","Treatment, Female","Control, Male","Treatment, Male",pval_diff_female,pval_diff_male
wave1,0.16666666666666666,0.13513513513513514,0.358974358974359,0.5121951219512195,0.569643540637065,0.17108832173157157
wave2,0.3125,0.32432432432432434,0.5384615384615384,0.4878048780487805,0.8707422011166301,0.6554083331406042
wave3,0.5208333333333334,0.5405405405405406,0.10256410256410256,0,0.799979281231324,0.0439402153063982
bg_boda,0,0,0.6153846153846154,0.7560975609756098,NA,0.18053684971328282
bg_age,34.395833333333336,36.432432432432435,30.102564102564102,30.634146341463413,0.22118531722087306,0.7855830434714602
bg_married,0.6458333333333334,0.6756756756756757,0.7948717948717948,0.8292682926829268,0.685478726206286,0.6985670213275711
bg_num_children,3.5729166666666665,3.527027027027027,2.6923076923076925,2.902439024390244,0.8924857492623561,0.6796009636574891
bg_educ,5.95148689516129,5.774901918047079,6.564102564102564,8.073170731707316,0.7389646730877033,0.008820165288192537
literate_swahili,0.6979166666666666,0.6081081081081081,0.8974358974358975,0.9512195121951219,0.2271011809344335,0.37201945223275446
bg_rosca,0.875,0.8918918918918919,0.41025641025641024,0.4634146341463415,0.734497174000801,0.6369106298356424
bg_rosca_contrib_lyr,4216.09375,5243.783783783784,1172.051282051282,2524.390243902439,0.2545734267819616,0.07009309897439596
bg_animalsvalue,4555.9843012491865,4791.4273244496935,4149.206654084034,6194.896527690272,0.8663669904000153,0.34173854738663423
bg_totalinc_lastweek,995.5912162162163,1054.1417092768445,615.973665973666,681.3249835201054,0.6990158890857874,0.5880433102048885
bg_loan_bank,0.04099462365591398,0.04795117698343505,0.029611248966087675,0.025334382376081824,0.7691295922152452,0.9040428104119655
bg_loan_friend,0.3938041125541126,0.4168129168129168,0.34831834831834835,0.4095660437123852,0.6620162547522312,0.5623677480525409
bg_healthstatus,3.4074519230769234,3.3742203742203745,3.532544378698225,3.5609756097560976,0.713509779019746,0.8794408283332098
per_hard_save,0.865239501312336,0.8751862098318791,0.8794669897032101,0.7912425580948723,0.7518225408617797,0.22147410108547727
per_invest_choice2,64.36752615844544,63.58683795903527,61.30389789582615,65.57475664442742,0.8096703329882011,0.32070399521133774
per_somewhat_patient,0.09982249626307922,0.08738334747303357,0.15212142117971714,0.1747785190856393,0.7760425214229993,0.767184740804792
per_time_consistent,0.2047348484848485,0.20196560196560195,0.2853146853146853,0.3259423503325942,0.9634965213912061,0.6636583212090676
per_pat_now_impat_later,0.17892992424242424,0.25233415233415235,0.06445221445221445,0.08980044345898004,0.24295337898486005,0.5654384112904409
per_maximpat,0.38977272727272727,0.3294840294840295,0.38741258741258744,0.23059866962305986,0.4038836988722294,0.08240116368368738
per_fwd_digit_score2,2.861328125,2.972550675675676,3.172275641025641,3.067454268292683,0.299302017791042,0.6467568958864961
per_ravens_matrix,0.4769962161028968,0.4825849474811458,0.5094417849998991,0.4901094678392309,0.8166724400605332,0.6847176846301692
bg_durvalue_hh,4099.813537597656,3354.743896484375,8415.379507211539,6699.52334750796,0.6050636587655029,0.5141194568383753
per_hyperbolic,0.2265625,0.21621621621621623,0.26282051282051283,0.35365853658536583,0.8683462656951781,0.32842241636306646
